"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1268","test_get_post","tests.api","2025-11-03","passed","2025-11-03","TestAPI","test_api_example","",""
"","24338","test_google_search","tests.ui","2025-11-03","passed","2025-11-03","TestGoogleUI","test_ui_example","",""
